Date,Open,High,Low,Close,Volume,Market Cap
4/30/2019,21.7,22.35,21.43,22.13,190326179,3123908034
4/29/2019,22.9,22.93,21.32,21.71,201243334,3064223472
4/28/2019,22.35,23.04,22.3,22.9,222693167,3232825508
4/27/2019,22.87,22.95,22.26,22.34,205615716,3154084440
4/26/2019,22.29,23.46,21.64,22.87,253113255,3228602708
4/25/2019,23.1,23.53,21.54,22.24,244068802,3140181470
4/24/2019,22.85,23.17,21.41,23.13,259839247,3265257560
4/23/2019,23.91,24.75,22.69,22.88,264898474,3229567383
4/22/2019,24.19,24.7,23.4,23.91,254544860,3375238997
4/21/2019,24.99,24.99,22.79,24.19,281288778,3415575669
4/20/2019,24.52,25.53,23.96,25.01,311312466,3530449999
4/19/2019,22.03,24.8,21.32,24.48,397681147,3455309687
4/18/2019,19.59,22.08,19.54,22.04,376729341,3111293099
4/17/2019,19.83,19.89,19.43,19.6,186563033,2767512515
4/16/2019,19.39,19.86,18.79,19.83,174830782,2799150875
4/15/2019,19.49,19.9,18.89,19.4,176699111,2739147032
4/14/2019,18.71,20.01,18.53,19.49,189084742,2751795497
4/13/2019,18.44,18.72,18.15,18.72,167393154,2642776671
4/12/2019,17.69,18.63,16.81,18.43,171773154,2602467119
4/11/2019,18.28,18.29,16.59,17.7,159364357,2498873860
4/10/2019,18.43,18.69,18.12,18.25,180291307,2576252115
4/9/2019,18.11,18.64,17.32,18.44,203380139,2602577566
4/8/2019,19.08,19.09,18.07,18.11,178255322,2557210855
4/7/2019,19.11,19.27,18.91,19.11,149525473,2697901876
4/6/2019,19.46,19.47,18.89,19.12,155317547,2698658298
4/5/2019,19.14,19.53,18.94,19.45,181774781,2746352773
4/4/2019,18.74,19.55,18.45,19.14,214630296,2702478307
4/3/2019,19.8,20.07,18.43,18.75,254862222,2647473022
4/2/2019,17.96,19.92,17.69,19.79,264406306,2793832258
4/1/2019,17.41,18.06,17.29,17.95,202977286,2534170929
3/31/2019,16.93,17.57,16.77,17.4,199990283,2456689309
3/30/2019,16.49,17.24,16.07,16.93,182021376,2390413470
3/29/2019,16.8,16.9,16.45,16.51,172002338,2330827187
3/28/2019,16.78,16.91,16.61,16.81,189454288,2372500772
3/27/2019,16.29,16.96,16.05,16.78,202275822,2369114351
3/26/2019,16.76,16.83,15.78,16.34,186112032,2306195308
3/25/2019,17.25,17.42,16.22,16.84,199413830,2377537598
3/24/2019,15.24,17.38,14.92,17.29,314554203,2440268717
3/23/2019,15.25,15.55,15.1,15.24,143128548,2150949042
3/22/2019,14.5,15.32,14.39,15.27,149753510,2155244843
3/21/2019,15.28,15.45,14.34,14.52,152779939,2049500112
3/20/2019,15.69,15.72,15.18,15.28,136054765,2157164802
3/19/2019,15.68,16.01,15.41,15.69,216950178,2215550960
3/18/2019,15.75,15.94,15.4,15.68,132882167,2213915702
3/17/2019,16.09,16.1,15.68,15.76,131687083,2225087469
3/16/2019,15.05,16.16,15.02,16.12,143423670,2275609084
3/15/2019,15.03,15.3,15.01,15.08,124146334,2128517331
3/14/2019,15.12,15.23,14.75,15.05,137039682,2124846987
3/13/2019,15.43,15.45,15.1,15.12,145402739,2133885107
3/12/2019,14.5,15.51,14.32,15.41,169525508,2174968137
3/11/2019,14.5,14.97,14.22,14.51,152327295,2049079581
3/10/2019,14.57,14.6,14.07,14.49,140866074,2046259504
3/9/2019,14.28,14.95,14.11,14.57,160640089,2056345113
3/8/2019,15.23,15.32,13.76,14.37,227303083,2028259194
3/7/2019,14.53,15.65,14.44,15.15,236520320,2138227830
3/6/2019,13.75,14.56,13.11,14.52,191016822,2049578132
3/5/2019,11.52,13.84,11.52,13.81,237026335,1949911246
3/4/2019,11.54,11.6,11.07,11.55,89421231,1630004462
3/3/2019,11.85,11.96,11.35,11.54,89868246,1628869047
3/2/2019,11.38,11.92,10.96,11.87,120807894,1675716941
3/1/2019,10.36,11.61,10.33,11.39,117838677,1608442973
2/28/2019,9.91,10.55,9.89,10.37,100626963,1463309043
2/27/2019,9.52,10.12,9.44,9.9,93800328,1397514790
2/26/2019,9.82,9.87,9.45,9.52,88437694,1344215777
2/25/2019,10.07,10.29,9.54,9.84,146043498,1389450859
2/24/2019,10.8,11.09,9.62,10.11,113588899,1427720907
